1775986973.070226 server started (521): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1775986973.070241 on Linux 6.6.87.1-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Mon Apr 21 17:08:54 UTC 2025
1775986973.070246 using libevent 2.1.12-stable poll
1775986973.070247 using ncurses 6.4 20240113
1775986973.070288 input_key_build: 0x10e003 (PasteStart) is \033[200~
1775986973.070291 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1775986973.070293 input_key_build: 0x10e195 (F1) is \033OP
1775986973.070294 input_key_build: 0x10e196 (F2) is \033OQ
1775986973.070295 input_key_build: 0x10e197 (F3) is \033OR
1775986973.070296 input_key_build: 0x10e198 (F4) is \033OS
1775986973.070297 input_key_build: 0x10e199 (F5) is \033[15~
1775986973.070300 input_key_build: 0x10e19a (F6) is \033[17~
1775986973.070301 input_key_build: 0x10e19b (F7) is \033[18~
1775986973.070302 input_key_build: 0x10e19c (F8) is \033[19~
1775986973.070303 input_key_build: 0x10e19d (F9) is \033[20~
1775986973.070305 input_key_build: 0x10e19e (F10) is \033[21~
1775986973.070306 input_key_build: 0x10e19f (F11) is \033[23~
1775986973.070307 input_key_build: 0x10e1a0 (F12) is \033[24~
1775986973.070308 input_key_build: 0x10e1a1 (IC) is \033[2~
1775986973.070309 input_key_build: 0x10e1a2 (DC) is \033[3~
1775986973.070310 input_key_build: 0x10e1a3 (Home) is \033[1~
1775986973.070312 input_key_build: 0x10e1a4 (End) is \033[4~
1775986973.070313 input_key_build: 0x10e1a5 (NPage) is \033[6~
1775986973.070314 input_key_build: 0x10e1a6 (PPage) is \033[5~
1775986973.070315 input_key_build: 0x10e1a7 (BTab) is \033[Z
1775986973.070316 input_key_build: 0x10e1a8 (Up) is \033[A
1775986973.070317 input_key_build: 0x10e1a9 (Down) is \033[B
1775986973.070319 input_key_build: 0x10e1aa (Left) is \033[D
1775986973.070320 input_key_build: 0x10e1ab (Right) is \033[C
1775986973.070321 input_key_build: 0x10e1ac (KP/) is /
1775986973.070322 input_key_build: 0x10e1ad (KP*) is *
1775986973.070323 input_key_build: 0x10e1ae (KP-) is -
1775986973.070325 input_key_build: 0x10e1af (KP7) is 7
1775986973.070326 input_key_build: 0x10e1b0 (KP8) is 8
1775986973.070327 input_key_build: 0x10e1b1 (KP9) is 9
1775986973.070329 input_key_build: 0x10e1b2 (KP+) is +
1775986973.070330 input_key_build: 0x10e1b3 (KP4) is 4
1775986973.070332 input_key_build: 0x10e1b4 (KP5) is 5
1775986973.070333 input_key_build: 0x10e1b5 (KP6) is 6
1775986973.070334 input_key_build: 0x10e1b6 (KP1) is 1
1775986973.070335 input_key_build: 0x10e1b7 (KP2) is 2
